"Entity","Code","Year","palm_oil__00000257__production__005510__tonnes"
"Africa (FAO)",NA,1977,1141017
"Africa (FAO)",NA,1978,1174500
"Africa (FAO)",NA,1979,1278750
"Africa (FAO)",NA,1980,1357485
"Africa (FAO)",NA,1981,1176404
"Africa (FAO)",NA,1982,1162085
"Africa (FAO)",NA,1983,1147074
"Africa (FAO)",NA,1984,1182465
"Africa (FAO)",NA,1985,1333142
"Africa (FAO)",NA,1986,1406384
"Africa (FAO)",NA,1987,1487413
"Africa (FAO)",NA,1988,1468895
"Africa (FAO)",NA,1989,1534097
"Africa (FAO)",NA,1990,1643970
"Africa (FAO)",NA,1991,1662840
"Africa (FAO)",NA,1992,1714994
"Africa (FAO)",NA,1993,1749635
"Africa (FAO)",NA,1994,1760798
"Africa (FAO)",NA,1995,1801442
"Africa (FAO)",NA,1996,1765675
"Africa (FAO)",NA,1997,1721979
"Africa (FAO)",NA,1998,1787243
"Africa (FAO)",NA,1999,1846036
"Africa (FAO)",NA,2000,1851278
"Africa (FAO)",NA,2001,1815191
"Africa (FAO)",NA,2002,1922560
"Africa (FAO)",NA,2003,1967385
"Africa (FAO)",NA,2004,2137888
"Africa (FAO)",NA,2005,2186830
"Africa (FAO)",NA,2006,2381318
"Africa (FAO)",NA,2007,2437198
"Africa (FAO)",NA,2008,2486803
"Africa (FAO)",NA,2009,2460151.2
"Africa (FAO)",NA,2010,2321491.5
"Africa (FAO)",NA,2011,2322127.8
"Africa (FAO)",NA,2012,2322044.2
"Africa (FAO)",NA,2013,2304952
"Africa (FAO)",NA,2014,2812982.5
"Africa (FAO)",NA,2015,3022540.5
"Africa (FAO)",NA,2016,2694847.8
"Africa (FAO)",NA,2017,3347970.8
"Africa (FAO)",NA,2018,3451560.2
"Africa (FAO)",NA,2019,3132157.8
"Africa (FAO)",NA,2020,3225475.5
"Africa (FAO)",NA,2021,3390233
"Africa (FAO)",NA,2022,3482947.2
"Americas (FAO)",NA,1961,65393
"Americas (FAO)",NA,1962,74184
"Americas (FAO)",NA,1963,74995
"Americas (FAO)",NA,1964,81208
"Americas (FAO)",NA,1965,89162
"Americas (FAO)",NA,1966,89119
"Americas (FAO)",NA,1967,102403
"Americas (FAO)",NA,1968,115925
"Americas (FAO)",NA,1969,104379
"Americas (FAO)",NA,1970,97164
"Americas (FAO)",NA,1971,119477
"Americas (FAO)",NA,1972,122382
"Americas (FAO)",NA,1973,127638
"Americas (FAO)",NA,1974,118170
"Americas (FAO)",NA,1975,106915
"Americas (FAO)",NA,1976,115457
"Americas (FAO)",NA,1977,136379
"Americas (FAO)",NA,1978,153227
"Americas (FAO)",NA,1979,176150
"Americas (FAO)",NA,1980,190495
"Americas (FAO)",NA,1981,222245
"Americas (FAO)",NA,1982,255362
"Americas (FAO)",NA,1983,292105
"Americas (FAO)",NA,1984,338030
"Americas (FAO)",NA,1985,368172
"Americas (FAO)",NA,1986,446911
"Americas (FAO)",NA,1987,475300
"Americas (FAO)",NA,1988,541058
"Americas (FAO)",NA,1989,634417
"Americas (FAO)",NA,1990,679697
"Americas (FAO)",NA,1991,744365
"Americas (FAO)",NA,1992,754066
"Americas (FAO)",NA,1993,807616
"Americas (FAO)",NA,1994,908789
"Americas (FAO)",NA,1995,947410
"Americas (FAO)",NA,1996,1004812
"Americas (FAO)",NA,1997,1126090
"Americas (FAO)",NA,1998,1164798
"Americas (FAO)",NA,1999,1167117
"Americas (FAO)",NA,2000,1316889
"Americas (FAO)",NA,2001,1402705
"Americas (FAO)",NA,2002,1414037
"Americas (FAO)",NA,2003,1409410
"Americas (FAO)",NA,2004,1633122
"Americas (FAO)",NA,2005,1820135
"Americas (FAO)",NA,2006,1955917
"Americas (FAO)",NA,2007,2070831
"Americas (FAO)",NA,2008,2237117
"Americas (FAO)",NA,2009,2311617
"Americas (FAO)",NA,2010,2374063
"Americas (FAO)",NA,2011,2678736
"Americas (FAO)",NA,2012,3052208
"Americas (FAO)",NA,2013,3303376
"Americas (FAO)",NA,2014,3428936.5
"Americas (FAO)",NA,2015,3819723
"Americas (FAO)",NA,2016,4213893.5
"Americas (FAO)",NA,2017,4806945.5
"Americas (FAO)",NA,2018,5008162.5
"Americas (FAO)",NA,2019,5092410
"Americas (FAO)",NA,2020,5331590
"Americas (FAO)",NA,2021,5449914
"Americas (FAO)",NA,2022,5684885.5
"Angola","AGO",1961,40000
"Angola","AGO",1962,41000
"Angola","AGO",1963,36000
"Angola","AGO",1964,41000
"Angola","AGO",1965,32000
"Angola","AGO",1966,35000
"Angola","AGO",1967,35000
"Angola","AGO",1968,38000
"Angola","AGO",1969,45000
"Angola","AGO",1970,38000
"Angola","AGO",1971,38000
"Angola","AGO",1972,38000
"Angola","AGO",1973,40000
"Angola","AGO",1974,40000
"Angola","AGO",1975,40000
"Angola","AGO",1976,35000
"Angola","AGO",1977,30000
"Angola","AGO",1978,35000
"Angola","AGO",1979,40000
"Angola","AGO",1980,40000
"Angola","AGO",1981,38000
"Angola","AGO",1982,38000
"Angola","AGO",1983,40000
"Angola","AGO",1984,38000
"Angola","AGO",1985,36000
"Angola","AGO",1986,38000
"Angola","AGO",1987,40000
"Angola","AGO",1988,42000
"Angola","AGO",1989,42000
"Angola","AGO",1990,40000
"Angola","AGO",1991,40000
"Angola","AGO",1992,40000
"Angola","AGO",1993,40000
"Angola","AGO",1994,40000
"Angola","AGO",1995,40000
"Angola","AGO",1996,48000
"Angola","AGO",1997,50000
"Angola","AGO",1998,51000
"Angola","AGO",1999,49000
"Angola","AGO",2000,49000
"Angola","AGO",2001,49000
"Angola","AGO",2002,50000
"Angola","AGO",2003,49000
"Angola","AGO",2004,51000
"Angola","AGO",2005,53000
"Angola","AGO",2006,54000
"Angola","AGO",2007,55000
"Angola","AGO",2008,46000
"Angola","AGO",2009,55000
"Angola","AGO",2010,57000
"Angola","AGO",2011,50000
"Angola","AGO",2012,48000
"Angola","AGO",2013,46000
"Angola","AGO",2014,42000
"Angola","AGO",2015,45000
"Angola","AGO",2016,48000
"Angola","AGO",2017,51000
"Angola","AGO",2018,53000
"Angola","AGO",2019,55000
"Angola","AGO",2020,57000
"Angola","AGO",2021,59000
"Angola","AGO",2022,61000
"Asia",NA,1961,281426
"Asia",NA,1962,290551
"Asia",NA,1963,314871
"Asia",NA,1964,327793
"Asia",NA,1965,347991
"Asia",NA,1966,425237
"Asia",NA,1967,466607
"Asia",NA,1968,553578
"Asia",NA,1969,642596
"Asia",NA,1970,762696
"Asia",NA,1971,961696
"Asia",NA,1972,1142144
"Asia",NA,1973,1263141
"Asia",NA,1974,1558501
"Asia",NA,1975,1825076
"Asia",NA,1976,2003071
"Asia",NA,1977,2247354
"Asia",NA,1978,2471909
"Asia",NA,1979,3025539
"Asia",NA,1980,3485745
"Asia",NA,1981,3829117
"Asia",NA,1982,4657262
"Asia",NA,1983,4264020
"Asia",NA,1984,5161346
"Asia",NA,1985,5740893
"Asia",NA,1986,6275978
"Asia",NA,1987,6431015
"Asia",NA,1988,7157831
"Asia",NA,1989,8465455
"Asia",NA,1990,8958334
"Asia",NA,1991,9269481
"Asia",NA,1992,10155710
"Asia",NA,1993,11344078
"Asia",NA,1994,11795038
"Asia",NA,1995,12934038
"Asia",NA,1996,13938548
"Asia",NA,1997,15158984
"Asia",NA,1998,14951900
"Asia",NA,1999,17393218
"Asia",NA,2000,18688602
"Asia",NA,2001,21252862
"Asia",NA,2002,22449552
"Asia",NA,2003,24941468
"Asia",NA,2004,25912428
"Asia",NA,2005,27916288
"Asia",NA,2006,34683670
"Asia",NA,2007,34835560
"Asia",NA,2008,37124988
"Asia",NA,2009,38596830
"Asia",NA,2010,40498616
"Asia",NA,2011,43909320
"Asia",NA,2012,46845816
"Asia",NA,2013,49244776
"Asia",NA,2014,51195920
"Asia",NA,2015,53365584
"Asia",NA,2016,51104828
"Asia",NA,2017,60787590
"Asia",NA,2018,63165652
"Asia",NA,2019,70340380
"Asia",NA,2020,66910450
"Asia",NA,2021,71105530
"Asia",NA,2022,68856904
"Asia (FAO)",NA,1961,281426
"Asia (FAO)",NA,1962,290551
"Asia (FAO)",NA,1963,314871
"Asia (FAO)",NA,1964,327793
"Asia (FAO)",NA,1965,347991
"Asia (FAO)",NA,1966,425237
"Asia (FAO)",NA,1967,466607
"Asia (FAO)",NA,1968,553578
"Asia (FAO)",NA,1969,642596
"Asia (FAO)",NA,1970,762696
"Asia (FAO)",NA,1971,961696
"Asia (FAO)",NA,1972,1142144
"Asia (FAO)",NA,1973,1263141
"Asia (FAO)",NA,1974,1558501
"Asia (FAO)",NA,1975,1825076
"Asia (FAO)",NA,1976,2003071
"Asia (FAO)",NA,1977,2247354
"Asia (FAO)",NA,1978,2471909
"Asia (FAO)",NA,1979,3025539
"Asia (FAO)",NA,1980,3485745
"Asia (FAO)",NA,1981,3829117
"Asia (FAO)",NA,1982,4657262
"Asia (FAO)",NA,1983,4264020
"Asia (FAO)",NA,1984,5161346
"Asia (FAO)",NA,1985,5740893
"Asia (FAO)",NA,1986,6275978
"Asia (FAO)",NA,1987,6431015
"Asia (FAO)",NA,1988,7157831
"Asia (FAO)",NA,1989,8465455
"Asia (FAO)",NA,1990,8958334
"Asia (FAO)",NA,1991,9269481
"Asia (FAO)",NA,1992,10155710
"Asia (FAO)",NA,1993,11344078
"Asia (FAO)",NA,1994,11795038
"Asia (FAO)",NA,1995,12934038
"Asia (FAO)",NA,1996,13938548
"Asia (FAO)",NA,1997,15158984
"Asia (FAO)",NA,1998,14951900
"Asia (FAO)",NA,1999,17393218
"Asia (FAO)",NA,2000,18688602
"Asia (FAO)",NA,2001,21252862
"Asia (FAO)",NA,2002,22449552
"Asia (FAO)",NA,2003,24941468
"Asia (FAO)",NA,2004,25912428
"Asia (FAO)",NA,2005,27916288
"Asia (FAO)",NA,2006,34683670
"Asia (FAO)",NA,2007,34835560
"Asia (FAO)",NA,2008,37124988
"Asia (FAO)",NA,2009,38596830
"Asia (FAO)",NA,2010,40498616
"Asia (FAO)",NA,2011,43909320
"Asia (FAO)",NA,2012,46845816
"Asia (FAO)",NA,2013,49244772
"Asia (FAO)",NA,2014,51195920
"Asia (FAO)",NA,2015,53365584
"Asia (FAO)",NA,2016,51104828
"Asia (FAO)",NA,2017,60787590
"Asia (FAO)",NA,2018,63165652
"Asia (FAO)",NA,2019,70340376
"Asia (FAO)",NA,2020,66910450
"Asia (FAO)",NA,2021,71105530
"Asia (FAO)",NA,2022,68856904
"Bahrain","BHR",2021,0
"Bahrain","BHR",2022,0
"Benin","BEN",1961,24600
"Benin","BEN",1962,23200
"Benin","BEN",1963,24800
"Benin","BEN",1964,27000
"Benin","BEN",1965,27000
"Benin","BEN",1966,27000
"Benin","BEN",1967,24700
"Benin","BEN",1968,27200
"Benin","BEN",1969,31300
"Benin","BEN",1970,31957
"Benin","BEN",1971,19990
"Benin","BEN",1972,15396
"Benin","BEN",1973,15636
"Benin","BEN",1974,25796
"Benin","BEN",1975,38500
"Benin","BEN",1976,47000
"Benin","BEN",1977,33000
"Benin","BEN",1978,25000
"Benin","BEN",1979,25000
"Benin","BEN",1980,34000
"Benin","BEN",1981,30000
"Benin","BEN",1982,31000
"Benin","BEN",1983,35000
"Benin","BEN",1984,35000
"Benin","BEN",1985,33000
"Benin","BEN",1986,25000
"Benin","BEN",1987,25000
"Benin","BEN",1988,25000
"Benin","BEN",1989,20000
"Benin","BEN",1990,21854
"Benin","BEN",1991,14000
"Benin","BEN",1992,13700
"Benin","BEN",1993,14000
"Benin","BEN",1994,9432
"Benin","BEN",1995,12500
"Benin","BEN",1996,15000
"Benin","BEN",1997,8841
"Benin","BEN",1998,14800
"Benin","BEN",1999,15000
"Benin","BEN",2000,36000
"Benin","BEN",2001,36000
"Benin","BEN",2002,32000
"Benin","BEN",2003,32000
"Benin","BEN",2004,33500
"Benin","BEN",2005,36000
"Benin","BEN",2006,38000
"Benin","BEN",2007,40000
"Benin","BEN",2008,42000
"Benin","BEN",2009,44000
"Benin","BEN",2010,46000
"Benin","BEN",2011,46000
"Benin","BEN",2012,53000
"Benin","BEN",2013,56000
"Benin","BEN",2014,64000
"Benin","BEN",2015,60000
"Benin","BEN",2016,65000
"Benin","BEN",2017,70000
"Benin","BEN",2018,75000
"Benin","BEN",2019,78000
"Benin","BEN",2020,80000
"Benin","BEN",2021,92000
"Benin","BEN",2022,96000
"Brazil","BRA",1961,3993
"Brazil","BRA",1962,5126
"Brazil","BRA",1963,5340
"Brazil","BRA",1964,6429
"Brazil","BRA",1965,8491
"Brazil","BRA",1966,10980
"Brazil","BRA",1967,9795
"Brazil","BRA",1968,10191
"Brazil","BRA",1969,11619
"Brazil","BRA",1970,4678
"Brazil","BRA",1971,5200
"Brazil","BRA",1972,5500
"Brazil","BRA",1973,6000
"Brazil","BRA",1974,6500
"Brazil","BRA",1975,7000
"Brazil","BRA",1976,9000
"Brazil","BRA",1977,12000
"Brazil","BRA",1978,15000
"Brazil","BRA",1979,16000
"Brazil","BRA",1980,12000
"Brazil","BRA",1981,14000
"Brazil","BRA",1982,16000
"Brazil","BRA",1983,18000
"Brazil","BRA",1984,23000
"Brazil","BRA",1985,29000
"Brazil","BRA",1986,31000
"Brazil","BRA",1987,39000
"Brazil","BRA",1988,46000
"Brazil","BRA",1989,53700
"Brazil","BRA",1990,65600
"Brazil","BRA",1991,69900
"Brazil","BRA",1992,60000
"Brazil","BRA",1993,53800
"Brazil","BRA",1994,70800
"Brazil","BRA",1995,75500
"Brazil","BRA",1996,79500
"Brazil","BRA",1997,80400
"Brazil","BRA",1998,88600
"Brazil","BRA",1999,92000
"Brazil","BRA",2000,108000
"Brazil","BRA",2001,110000
"Brazil","BRA",2002,118000
"Brazil","BRA",2003,129000
"Brazil","BRA",2004,142000
"Brazil","BRA",2005,160000
"Brazil","BRA",2006,170000
"Brazil","BRA",2007,190000
"Brazil","BRA",2008,210000
"Brazil","BRA",2009,240000
"Brazil","BRA",2010,250000
"Brazil","BRA",2011,270000
"Brazil","BRA",2012,310000
"Brazil","BRA",2013,340000
"Brazil","BRA",2014,365000
"Brazil","BRA",2015,4e+05
"Brazil","BRA",2016,415000
"Brazil","BRA",2017,313376
"Brazil","BRA",2018,362732
"Brazil","BRA",2019,400559.9
"Brazil","BRA",2020,576763
"Brazil","BRA",2021,579158.6
"Brazil","BRA",2022,587108
"Brunei","BRN",2020,0
"Brunei","BRN",2021,0
"Brunei","BRN",2022,0
"Burundi","BDI",1961,1000
"Burundi","BDI",1962,1000
"Burundi","BDI",1963,1000
"Burundi","BDI",1964,1000
"Burundi","BDI",1965,1000
"Burundi","BDI",1966,1000
"Burundi","BDI",1967,1000
"Burundi","BDI",1968,1340
"Burundi","BDI",1969,1670
"Burundi","BDI",1970,1740
"Burundi","BDI",1971,1780
"Burundi","BDI",1972,1600
"Burundi","BDI",1973,1690
"Burundi","BDI",1974,1360
"Burundi","BDI",1975,1620
"Burundi","BDI",1976,1620
"Burundi","BDI",1977,1700
"Burundi","BDI",1978,2200
"Burundi","BDI",1979,1750
"Burundi","BDI",1980,1800
"Burundi","BDI",1981,1800
"Burundi","BDI",1982,1800
"Burundi","BDI",1983,1800
"Burundi","BDI",1984,1800
"Burundi","BDI",1985,1800
"Burundi","BDI",1986,1800
"Burundi","BDI",1987,1850
"Burundi","BDI",1988,1930
"Burundi","BDI",1989,1401
"Burundi","BDI",1990,1931
"Burundi","BDI",1991,1958
"Burundi","BDI",1992,2012
"Burundi","BDI",1993,1960
"Burundi","BDI",1994,1755
"Burundi","BDI",1995,1890
"Burundi","BDI",1996,1960
"Burundi","BDI",1997,2030
"Burundi","BDI",1998,1960
"Burundi","BDI",1999,1890
"Burundi","BDI",2000,1760
"Burundi","BDI",2001,1260
"Burundi","BDI",2002,1490
"Burundi","BDI",2003,2000
"Burundi","BDI",2004,2700
"Burundi","BDI",2005,4500
"Burundi","BDI",2006,7500
"Burundi","BDI",2007,11500
"Burundi","BDI",2008,12977
"Burundi","BDI",2009,12217
"Burundi","BDI",2010,11418
"Burundi","BDI",2011,9689
"Burundi","BDI",2012,9923
"Burundi","BDI",2013,15778
"Burundi","BDI",2014,18468
"Burundi","BDI",2015,16571
"Burundi","BDI",2016,19216
"Burundi","BDI",2017,21847
"Burundi","BDI",2018,23658
"Burundi","BDI",2019,25545
"Burundi","BDI",2020,17744.64
"Burundi","BDI",2021,17558.04
"Burundi","BDI",2022,17697.7
"Cambodia","KHM",2010,31606.85
"Cambodia","KHM",2011,31594.22
"Cambodia","KHM",2012,31603.64
"Cambodia","KHM",2013,31622.7
"Cambodia","KHM",2014,31606.85
"Cambodia","KHM",2015,38090.34
"Cambodia","KHM",2016,40000
"Cambodia","KHM",2017,70000
"Cambodia","KHM",2018,70000
"Cambodia","KHM",2019,84000
"Cambodia","KHM",2020,85000
"Cambodia","KHM",2021,95000
"Cambodia","KHM",2022,97000
"Cameroon","CMR",1961,37200
"Cameroon","CMR",1962,37000
"Cameroon","CMR",1963,51400
"Cameroon","CMR",1964,52600
"Cameroon","CMR",1965,60750
"Cameroon","CMR",1966,46000
"Cameroon","CMR",1967,62500
"Cameroon","CMR",1968,64170
"Cameroon","CMR",1969,58000
"Cameroon","CMR",1970,64500
"Cameroon","CMR",1971,63700
"Cameroon","CMR",1972,64600
"Cameroon","CMR",1973,69300
"Cameroon","CMR",1974,72200
"Cameroon","CMR",1975,79900
"Cameroon","CMR",1976,62500
"Cameroon","CMR",1977,62600
"Cameroon","CMR",1978,80000
"Cameroon","CMR",1979,75000
"Cameroon","CMR",1980,85000
"Cameroon","CMR",1981,70744
"Cameroon","CMR",1982,72485
"Cameroon","CMR",1983,64586
"Cameroon","CMR",1984,79012
"Cameroon","CMR",1985,102598
"Cameroon","CMR",1986,103960
"Cameroon","CMR",1987,98000
"Cameroon","CMR",1988,1e+05
"Cameroon","CMR",1989,148330
"Cameroon","CMR",1990,157708
"Cameroon","CMR",1991,130000
"Cameroon","CMR",1992,120000
"Cameroon","CMR",1993,123000
"Cameroon","CMR",1994,125000
"Cameroon","CMR",1995,125000
"Cameroon","CMR",1996,160708
"Cameroon","CMR",1997,135000
"Cameroon","CMR",1998,139000
"Cameroon","CMR",1999,131979
"Cameroon","CMR",2000,136277
"Cameroon","CMR",2001,138476
"Cameroon","CMR",2002,153121
"Cameroon","CMR",2003,162308
"Cameroon","CMR",2004,172047
"Cameroon","CMR",2005,198325
"Cameroon","CMR",2006,205318
"Cameroon","CMR",2007,215462
"Cameroon","CMR",2008,225606
"Cameroon","CMR",2009,238000
"Cameroon","CMR",2010,326940
"Cameroon","CMR",2011,354076
"Cameroon","CMR",2012,240000
"Cameroon","CMR",2013,249000
"Cameroon","CMR",2014,253000
"Cameroon","CMR",2015,260000
"Cameroon","CMR",2016,318773
"Cameroon","CMR",2017,361995
"Cameroon","CMR",2018,352195
"Cameroon","CMR",2019,336466
"Cameroon","CMR",2020,373463
"Cameroon","CMR",2021,310000
"Cameroon","CMR",2022,330000
"Caribbean (FAO)",NA,1989,2600
"Caribbean (FAO)",NA,1990,8800
"Caribbean (FAO)",NA,1991,13200
"Caribbean (FAO)",NA,1992,16300
"Caribbean (FAO)",NA,1993,20000
"Caribbean (FAO)",NA,1994,23000
"Caribbean (FAO)",NA,1995,24000
"Caribbean (FAO)",NA,1996,25000
"Caribbean (FAO)",NA,1997,25000
"Caribbean (FAO)",NA,1998,25000
"Caribbean (FAO)",NA,1999,23500
"Caribbean (FAO)",NA,2000,26000
"Caribbean (FAO)",NA,2001,26000
"Caribbean (FAO)",NA,2002,25200
"Caribbean (FAO)",NA,2003,27000
"Caribbean (FAO)",NA,2004,27600
"Caribbean (FAO)",NA,2005,29000
"Caribbean (FAO)",NA,2006,31000
"Caribbean (FAO)",NA,2007,32000
"Caribbean (FAO)",NA,2008,35000
"Caribbean (FAO)",NA,2009,38000
"Caribbean (FAO)",NA,2010,41000
"Caribbean (FAO)",NA,2011,44000
"Caribbean (FAO)",NA,2012,45000
"Caribbean (FAO)",NA,2013,46000
"Caribbean (FAO)",NA,2014,47000
"Caribbean (FAO)",NA,2015,57000
"Caribbean (FAO)",NA,2016,58000
"Caribbean (FAO)",NA,2017,57800
"Caribbean (FAO)",NA,2018,59500
"Caribbean (FAO)",NA,2019,61700
"Caribbean (FAO)",NA,2020,59100
"Caribbean (FAO)",NA,2021,47600
"Caribbean (FAO)",NA,2022,51800
"Central African Republic","CAF",1961,1190
"Central African Republic","CAF",1962,1250
"Central African Republic","CAF",1963,1100
"Central African Republic","CAF",1964,1450
"Central African Republic","CAF",1965,1600
"Central African Republic","CAF",1966,2400
"Central African Republic","CAF",1967,2400
"Central African Republic","CAF",1968,2400
"Central African Republic","CAF",1969,3600
"Central African Republic","CAF",1970,3600
"Central African Republic","CAF",1971,3600
"Central African Republic","CAF",1972,5600
"Central African Republic","CAF",1973,5600
"Central African Republic","CAF",1974,5600
"Central African Republic","CAF",1975,7000
"Central African Republic","CAF",1976,7000
"Central African Republic","CAF",1977,6300
"Central African Republic","CAF",1978,5600
"Central African Republic","CAF",1979,4900
"Central African Republic","CAF",1980,4900
"Central African Republic","CAF",1981,5600
"Central African Republic","CAF",1982,5600
"Central African Republic","CAF",1983,6000
"Central African Republic","CAF",1984,6000
"Central African Republic","CAF",1985,6400
"Central African Republic","CAF",1986,6400
"Central African Republic","CAF",1987,7200
"Central African Republic","CAF",1988,7200
"Central African Republic","CAF",1989,7200
"Central African Republic","CAF",1990,7733
"Central African Republic","CAF",1991,6300
"Central African Republic","CAF",1992,5948
"Central African Republic","CAF",1993,6600
"Central African Republic","CAF",1994,6665
"Central African Republic","CAF",1995,6730
"Central African Republic","CAF",1996,2585
"Central African Republic","CAF",1997,3403
"Central African Republic","CAF",1998,2066
"Central African Republic","CAF",1999,2966
"Central African Republic","CAF",2000,2183
"Central African Republic","CAF",2001,1886
"Central African Republic","CAF",2002,1800
"Central African Republic","CAF",2003,1700
"Central African Republic","CAF",2004,1762
"Central African Republic","CAF",2005,1818
"Central African Republic","CAF",2006,1800
"Central African Republic","CAF",2007,1400
"Central African Republic","CAF",2008,1100
"Central African Republic","CAF",2009,700
"Central African Republic","CAF",2010,360
"Central African Republic","CAF",2011,380
"Central African Republic","CAF",2012,420
"Central African Republic","CAF",2013,440
"Central African Republic","CAF",2014,400
"Central African Republic","CAF",2015,692.51
"Central African Republic","CAF",2016,704.38
"Central African Republic","CAF",2017,680.57
"Central African Republic","CAF",2018,420
"Central African Republic","CAF",2019,644.71
"Central African Republic","CAF",2020,688.14
"Central African Republic","CAF",2021,694.35
"Central African Republic","CAF",2022,693.58
"Central America (FAO)",NA,1961,27200
"Central America (FAO)",NA,1962,31508
"Central America (FAO)",NA,1963,30855
"Central America (FAO)",NA,1964,32650
"Central America (FAO)",NA,1965,33450
"Central America (FAO)",NA,1966,33795
"Central America (FAO)",NA,1967,32320
"Central America (FAO)",NA,1968,36700
"Central America (FAO)",NA,1969,33725
"Central America (FAO)",NA,1970,31610
"Central America (FAO)",NA,1971,32875
"Central America (FAO)",NA,1972,31847
"Central America (FAO)",NA,1973,43576
"Central America (FAO)",NA,1974,43315
"Central America (FAO)",NA,1975,41400
"Central America (FAO)",NA,1976,45650
"Central America (FAO)",NA,1977,41100
"Central America (FAO)",NA,1978,49950
"Central America (FAO)",NA,1979,53170
"Central America (FAO)",NA,1980,53180
"Central America (FAO)",NA,1981,66300
"Central America (FAO)",NA,1982,76400
"Central America (FAO)",NA,1983,85738
"Central America (FAO)",NA,1984,102229
"Central America (FAO)",NA,1985,104864
"Central America (FAO)",NA,1986,129061
"Central America (FAO)",NA,1987,134296
"Central America (FAO)",NA,1988,140296
"Central America (FAO)",NA,1989,157328
"Central America (FAO)",NA,1990,167358
"Central America (FAO)",NA,1991,173048
"Central America (FAO)",NA,1992,176374
"Central America (FAO)",NA,1993,192558
"Central America (FAO)",NA,1994,198057
"Central America (FAO)",NA,1995,206017
"Central America (FAO)",NA,1996,223089
"Central America (FAO)",NA,1997,247500
"Central America (FAO)",NA,1998,277936
"Central America (FAO)",NA,1999,289972
"Central America (FAO)",NA,2000,343051
"Central America (FAO)",NA,2001,403768
"Central America (FAO)",NA,2002,396400
"Central America (FAO)",NA,2003,433760
"Central America (FAO)",NA,2004,478100
"Central America (FAO)",NA,2005,573600
"Central America (FAO)",NA,2006,651500
"Central America (FAO)",NA,2007,666056
"Central America (FAO)",NA,2008,745854
"Central America (FAO)",NA,2009,758010
"Central America (FAO)",NA,2010,854952
"Central America (FAO)",NA,2011,958925
"Central America (FAO)",NA,2012,1058191
"Central America (FAO)",NA,2013,1244746
"Central America (FAO)",NA,2014,1275425.9
"Central America (FAO)",NA,2015,1363539
"Central America (FAO)",NA,2016,1748552
"Central America (FAO)",NA,2017,1956858
"Central America (FAO)",NA,2018,2101319
"Central America (FAO)",NA,2019,2272868
"Central America (FAO)",NA,2020,2305287
"Central America (FAO)",NA,2021,2237054.2
"Central America (FAO)",NA,2022,2445060.2
"China","CHN",1961,40000
"China","CHN",1962,40000
"China","CHN",1963,40000
"China","CHN",1964,40000
"China","CHN",1965,40000
"China","CHN",1966,60000
"China","CHN",1967,72000
"China","CHN",1968,88000
